Time [s],  E-Height [cm], A-Height [cm], B-Height [cm]
0, 17
15, 16.1
30, 14.9
45, 14.0
60, 13.2
75, 12.5
90, 11.9
105, 11.2
120, 10.7
150, 9.7
180, 8.9
210, 8.3
240, 7.5
300, 6.3
360, 5.2
