93.25,22.315
93.5,22.254
93.75,22.254
94,22.254
94.25,22.194
94.5,22.194
94.75,22.072
95,22.194
95.25,21.89
95.5,21.89
95.75,22.072
96,22.74
96.25,23.165
96.5,23.226
96.75,23.226
97,22.862
97.25,22.74
97.5,22.68
97.75,22.68
98,22.619
98.25,22.558
98.5,22.619
98.75,22.862
99,22.862
99.25,23.165
99.5,22.801
99.75,22.315
100,21.89
100.25,21.768
100.5,21.951
100.75,21.951
101,22.012
101.25,22.194
101.5,22.133
101.75,22.194
102,22.194
102.25,22.072
102.5,22.072
102.75,22.194
103,22.133
103.25,22.133
103.5,22.072
103.75,22.133
104,22.072
104.25,21.89
104.5,21.768
104.75,21.708
105,21.768
105.25,22.012
105.5,22.315
105.75,22.619
106,22.922
106.25,23.165
106.5,23.226
106.75,22.983
107,22.801
107.25,22.74
107.5,22.558
107.75,22.619
108,22.74
108.25,22.801
108.5,22.862
108.75,22.68
109,22.801
109.25,22.68
109.5,22.862
109.75,22.983
110,22.558
110.25,21.829
110.5,21.768
110.75,21.829
111,22.012
111.25,22.194
111.5,22.194
111.75,22.194
112,22.194
112.25,22.012
112.5,22.012
112.75,21.89
113,21.768
113.25,21.951
113.5,22.619
113.75,23.347
114,23.104
114.25,23.044
114.5,22.801
114.75,22.619
115,22.619
115.25,22.68
115.5,22.68
115.75,22.68
116,22.68
116.25,22.619
116.5,22.619
116.75,22.801
117,22.862
117.25,23.044
117.5,22.74
117.75,22.315
118,21.708
118.25,21.708
118.5,21.89
118.75,22.072
119,22.254
119.25,22.072
119.5,21.951
119.75,22.133
120,22.133
120.25,22.072
120.5,22.012
120.75,21.708
121,21.586
121.25,21.951
121.5,22.376
121.75,22.922
122,23.104
122.25,23.104
122.5,22.862
122.75,22.801
123,22.558
123.25,22.619
123.5,22.558
123.75,22.619
124,22.74
124.25,22.619
124.5,22.68
124.75,22.74
125,23.044
125.25,23.044
125.5,22.68
125.75,22.133
126,21.647
126.25,21.829
126.5,21.89
126.75,22.072
127,22.254
127.25,22.194
127.5,22.072
127.75,22.072
128,22.072
128.25,22.133
128.5,22.194
128.75,22.254
129,22.072
129.25,21.829
129.5,21.768
129.75,22.072
130,22.619
130.25,23.226
130.5,23.226
130.75,23.165
131,22.862
131.25,22.68
131.5,22.74
131.75,22.68
132,22.862
132.25,22.74
132.5,22.74
132.75,22.74
133,22.801
133.25,22.983
133.5,22.983
133.75,23.044
134,23.226
134.25,23.104
134.5,22.74
134.75,22.619
135,22.376
135.25,22.133
135.5,22.133
135.75,21.951
136,21.829
136.25,21.829
136.5,21.951
136.75,21.89
137,22.012
137.25,22.012
137.5,22.072
137.75,21.951
138,22.133
138.25,22.194
138.5,22.133
138.75,22.133
139,22.072
139.25,22.133
139.5,22.254
139.75,22.315
140,22.254
140.25,22.194
140.5,22.315
140.75,22.133
141,22.315
141.25,22.376
141.5,22.315
141.75,22.376
142,22.254
142.25,22.254
142.5,22.254
142.75,22.254
143,22.376
143.25,22.194
143.5,22.254
143.75,22.254
144,22.072
144.25,22.254
144.5,22.254
144.75,22.315
145,22.376
145.25,22.315
145.5,22.254
145.75,22.254
146,22.315
146.25,22.254
146.5,22.376
146.75,22.315
147,22.315
147.25,22.254
147.5,22.437
147.75,22.315
148,22.315
