Time - Temperature,Temperature - Temperature
404,61.8016
405,61.7614
406,61.7456
407,61.7298
408,61.691
409,61.6767
410,61.6404
411,61.6081
412,61.5801
413,61.5439
414,61.5116
415,61.49
416,61.4613
417,61.415
418,61.4021
419,61.3716
420,61.3447
421,61.3224
422,61.2919
423,61.2657
424,61.2162
425,61.1835
426,61.1573
427,61.1225
428,61.0884
429,61.0625
430,61.0155
431,60.9965
432,60.9746
433,60.9498
434,60.9269
435,60.8877
436,60.8576
437,60.8195
438,60.7822
439,60.7452
440,60.7082
441,60.6845
442,60.6554
443,60.6246
444,60.593
445,60.5578
446,60.5312
447,60.5107
448,60.4788
449,60.4508
450,60.4246
451,60.4034
452,60.3704
453,60.3445
454,60.3179
455,60.2788
456,60.263
457,60.2174
458,60.1865
459,60.1589
460,60.1312
461,60.1097
462,60.0648
463,60.0371
464,60.0069
465,59.9955
466,59.9646
467,59.9405
468,59.9125
469,59.8798
470,59.8579
471,59.8417
472,59.8162
473,59.7936
474,59.7638
475,59.7573
476,59.716
477,59.6884
478,59.6578
479,59.6284
480,59.5989
481,59.5652
482,59.5472
483,59.5192
484,59.4901
485,59.456
486,59.4247
487,59.3992
488,59.378
489,59.354
490,59.3267
491,59.304
492,59.2739
493,59.2519
494,59.2333
495,59.1919
496,59.1632
497,59.1409
498,59.1133
499,59.0996
500,59.0705
501,59.05
502,59.0184
503,58.9857
504,58.975
505,58.9548
506,58.9333
507,58.8973
508,58.8582
509,58.837
510,58.7921
511,58.7709
512,58.7392
513,58.7105
514,58.6728
515,58.6415
516,58.6034
517,58.5722
518,58.5308
519,58.5143
520,58.4805
521,58.4493
522,58.4273
523,58.4094
524,58.3759
525,58.3562
526,58.3314
527,58.2839
528,58.2627
529,58.2351
530,58.2074
531,58.1894
532,58.1679
533,58.1398
534,58.1175
535,58.0996
536,58.0697
537,58.0471
538,58.0223
539,57.9892
540,57.9662
541,57.9439
542,57.9105
543,57.8868
544,57.8544
545,57.8167
546,57.7965
547,57.7768
548,57.7502
549,57.7282
550,57.6948
551,57.6696
552,57.6287
553,57.6064
554,57.5787
555,57.5452
556,57.5089
557,57.4888
558,57.4528
559,57.4252
560,57.4057
561,57.3784
562,57.3568
563,57.3464
564,57.3223
565,57.3054
566,57.2749
567,57.2461
568,57.2073
569,57.1821
570,57.1569
571,57.1346
572,57.1145
573,57.0915
574,57.0649
575,57.044
576,57.0239
577,56.9965
578,56.962
579,56.939
580,56.9156
581,56.8944
582,56.8822
583,56.848
584,56.8261
585,56.8038
586,56.7908
587,56.7552
588,56.7419
589,56.7153
590,56.6829
591,56.6545
592,56.6279
593,56.6056
594,56.5614
595,56.543
596,56.5085
597,56.4927
598,56.4621
599,56.4326
600,56.4056
601,56.3851
602,56.3531
603,56.3268
604,56.2948
605,56.2678
606,56.252
607,56.207
608,56.1829
609,56.1516
610,56.1203
611,56.0843
612,56.0548
613,56.0415
614,56.0156
615,55.9861
616,55.9534
617,55.9246
618,55.9001
619,55.8609
620,55.8299
621,55.8033
622,55.7706
623,55.7475
624,55.7137
625,55.6867
626,55.6705
627,55.6335
628,55.5982
629,55.5809
630,55.5421
631,55.5269
632,55.4913
633,55.4629
634,55.4427
635,55.4154
636,55.3833
637,55.3581
638,55.3333
639,55.298
640,55.2671
641,55.2491
642,55.2188
643,55.1793
644,55.1551
645,55.1202
646,55.1202
647,55.0716
648,55.0399
649,54.9993
650,54.9697
651,54.9377
652,54.9071
653,54.8729
654,54.8488
655,54.8326
656,54.8016
657,54.7847
658,54.7534
659,54.7303
660,54.7109
661,54.694
662,54.6695
663,54.6547
664,54.6104
665,54.5949
666,54.5769
667,54.5442
668,54.5154
669,54.484
670,54.4606
671,54.4279
672,54.4059
673,54.3738
674,54.3562
675,54.3353
676,54.2975
677,54.2849
678,54.2629
679,54.2305
680,54.201
681,54.1689
682,54.1361
683,54.1095
684,54.0745
685,54.0544
686,54.027
687,53.9982
688,53.9697
689,53.942
690,53.9269
691,53.9035
692,53.8743
693,53.8361
694,53.8181
695,53.7914
696,53.7687
697,53.7457
698,53.7053
699,53.6819
700,53.6671
701,53.6394
702,53.6106
703,53.5871
704,53.5652
705,53.5439
706,53.5072
707,53.4834
708,53.4556
709,53.4275
710,53.4009
711,53.3677
712,53.3353
713,53.3245
714,53.2888
715,53.2636
716,53.2448
717,53.1915
718,53.1818
719,53.1497
720,53.1173
721,53.0899
722,53.0715
723,53.0409
724,53.0142
725,52.9897
726,52.9731
727,52.9342
728,52.914
729,52.8906
730,52.8556
731,52.8318
732,52.8113
733,52.7997
734,52.7705
735,52.7482
736,52.7172
737,52.6898
738,52.6606
739,52.6307
740,52.6044
741,52.577
742,52.5503
743,52.5218
744,52.4901
745,52.4565
746,52.4349
747,52.4046
748,52.3765
749,52.3412
750,52.3109
751,52.2918
752,52.2691
753,52.2417
754,52.2074
755,52.1984
756,52.1677
757,52.1421
758,52.1201
759,52.0873
760,52.0606
761,52.0372
762,52.0217
763,52.0004
764,51.9676
765,51.9521
766,51.942
767,51.9236
768,51.8911
769,51.8619
770,51.8417
771,51.8186
772,51.802
773,51.7703
774,51.74
775,51.7277
776,51.6956
777,51.6816
778,51.6462
779,51.6267
780,51.5946
781,51.5687
782,51.5521
783,51.5247
784,51.4889
785,51.4781
786,51.4485
787,51.4244
788,51.4006
789,51.3836
790,51.3555
791,51.3284
792,51.3075
793,51.2801
794,51.2548
795,51.24
796,51.2122
797,51.1981
798,51.1747
799,51.165
800,51.1382
801,51.1123
802,51.0913
803,51.0701
804,51.0491
805,51.0239
806,50.9943
807,50.9661
808,50.9474
809,50.9149
810,50.8911
811,50.8716
812,50.8319
813,50.8214
814,50.7933
815,50.7694
816,50.7568
817,50.7254
818,50.7099
819,50.694
820,50.6676
821,50.6435
822,50.6077
823,50.6009
824,50.5807
825,50.5626
826,50.5435
827,50.5092
828,50.4807
829,50.4749
830,50.442
831,50.4276
832,50.4056
833,50.3883
834,50.3558
